TokenID,Character,Earrings,Eyes,Hat,Mouth,Neck,Nose,Whiskers
125,Stuart,None,Crazy,No Hat,Straight,Plain,Normal,Tiny Whiskers
126,Reepicheep,Flower,Sunglasses,Motorcycle Helmet,Big Frown,Plain,No Nose,Whiskers
127,Templeton,None,Looking Up,No Hat,Big Smile,Plain,No Nose,Tiny Whiskers
128,Templeton,None,Looking Right,No Hat,Big Frown,Plain,Big,Whiskers
129,Stuart,None,Looking Right,No Hat,Frown,Plain,Tiny,Tiny Whiskers
130,Templeton,None,Looking Up,No Hat,Big Frown,Plain,Dark,No Whiskers
132,Matthias,None,Looking Up,Soldier,Big Frown,Plain,Big,Tiny Whiskers
133,Reepicheep,None,Crosseyed,Construction Hat,Frown,Plain,Big,Tiny Whiskers
134,Reepicheep,None,Looking Left,No Hat,Straight,Red Necklace,Big,Tiny Whiskers
136,Reepicheep,None,Looking Up,No Hat,Straight,Black Necklace,Big,Whiskers
137,Stuart,None,Crosseyed,No Hat,Frown,Fancy,Tiny,Whiskers
138,Common,None,Looking Left,Halo,Small Smile,Plain,Big,Whiskers
139,Stuart,None,Looking Right,No Hat,Small Smile,Black Necklace,Dark,Whiskers
140,Stuart,None,Looking Left,No Hat,Big Frown,Plain,Big,Whiskers
141,Alvin,None,Looking Right,Karate Kid,Small Frown,Plain,Tiny,Tiny Whiskers
142,Templeton,None,Crosseyed,Halo,Frown,Plain,No Nose,Whiskers
143,Stuart,None,Looking Left,No Hat,Frown,Plain,No Nose,Whiskers
144,Templeton,None,Closed,No Hat,Big Smile,Fancy,Big,No Whiskers
145,Common,None,Looking Left,Cheese,Smile,Plain,Tiny,Whiskers
146,Jerry,None,Looking Left,Karate Kid,Big Smile,Plain,Big,Whiskers
147,Simon,None,Looking Left,No Hat,Smile,Black Necklace,Dark,Whiskers
148,Alvin,Bar,Looking Left,Construction Hat,Small Smile,Black Necklace,No Nose,Whiskers
149,Stuart,None,Looking Left,Construction Hat,Straight,Fancy,Normal,No Whiskers
150,Alvin,None,Looking Up,Construction Hat,Straight,Plain,No Nose,Handlebar
151,Matthias,None,Bandit Mask,Cheese,Smile,Plain,No Nose,Whiskers
152,Stuart,None,Crosseyed,No Hat,Smile,Red Necklace,Big,Big Whiskers
154,Reepicheep,None,Looking Left,No Hat,Small Frown,Plain,Dark,No Whiskers
155,Templeton,None,Looking Left,No Hat,Straight,Gold Chain,Normal,Whiskers
156,Templeton,None,Looking Up,No Hat,Smile,Plain,Normal,Whiskers
157,Common,None,Looking Up,No Hat,Big Smile,Plain,Tiny,Whiskers
158,Jerry,None,Looking Up,No Hat,Small Smile,Red Necklace,Big,No Whiskers
159,Common,None,Looking Up,Motorcycle Helmet,Big Smile,Plain,No Nose,No Whiskers
160,Alvin,None,Crosseyed,Halo,Frown,Plain,Tiny,Tiny Whiskers
161,Simon,None,Crosseyed,No Hat,Frown,Plain,No Nose,Whiskers
162,Jerry,None,Looking Up,No Hat,Straight,Plain,Dark,Whiskers
163,Stuart,None,Closed,Elvis,Big Frown,Plain,Big,Whiskers
165,Matthias,None,Looking Up,Construction Hat,Big Frown,Plain,Big,Whiskers
167,Templeton,None,Crazy,No Hat,Frown,Plain,No Nose,Whiskers
168,Common,None,Bandit Mask,Construction Hat,Smile,Plain,Normal,Whiskers
169,Reepicheep,None,Bandit Mask,Karate Kid,Straight,Red Necklace,Dark,Tiny Whiskers
170,Stuart,None,Looking Right,Halo,Smile,Plain,Normal,Big Whiskers
171,Stuart,None,Looking Up,No Hat,Smile,Plain,Normal,Whiskers
174,Simon,Stud,Looking Right,Construction Hat,Frown,Plain,Big,No Whiskers
175,Jerry,None,Looking Up,Karate Kid,Smile,Plain,Tiny,Tiny Whiskers
176,Stuart,None,Closed,Elvis,Straight,Fancy,Dark,Whiskers
177,Jerry,None,Looking Right,Construction Hat,Big Frown,Black Necklace,Big,Tiny Whiskers
179,Simon,None,Crosseyed,Karate Kid,Small Frown,Plain,Normal,Whiskers
180,Simon,None,Looking Left,No Hat,Big Frown,Black Necklace,Normal,Whiskers
181,Stuart,Bar,Looking Up,Bane,Big Smile,Fancy,Tiny,Whiskers
182,Reepicheep,None,Looking Left,No Hat,Small Frown,Black Necklace,Tiny,No Whiskers
185,Common,None,Crosseyed,No Hat,Big Smile,Plain,Dark,Big Whiskers
186,Common,None,Bandit Mask,Motorcycle Helmet,Smile,Fancy,Normal,Whiskers
188,Jerry,None,Looking Left,No Hat,Smile,Plain,Normal,Whiskers
189,Reepicheep,None,Looking Right,Construction Hat,Big Frown,Red Necklace,Normal,Whiskers
190,Stuart,None,Looking Right,Construction Hat,Small Smile,Plain,Big,Whiskers
192,Templeton,Stud,Looking Left,Karate Kid,Big Frown,Plain,Normal,Whiskers
194,Jerry,None,Looking Left,Motorcycle Helmet,Small Frown,Plain,No Nose,Big Whiskers
196,Stuart,Stud,Bandit Mask,No Hat,Big Frown,Plain,No Nose,Whiskers
197,Common,None,Looking Left,Elvis,Small Frown,Red Necklace,Big,Whiskers
199,Alvin,None,Looking Up,Motorcycle Helmet,Straight,Plain,Dark,Whiskers
200,Reepicheep,Bar,Crosseyed,Karate Kid,Big Smile,Plain,Tiny,Tiny Whiskers
203,Templeton,None,3D Glasses,Elvis,Small Frown,Plain,Normal,Whiskers
204,Common,None,Sunglasses,No Hat,Small Frown,Plain,Big,Tiny Whiskers
206,Common,None,Looking Up,No Hat,Small Frown,Plain,No Nose,Tiny Whiskers
207,Alvin,None,Looking Up,Karate Kid,Small Frown,Plain,Normal,Tiny Whiskers
208,Stuart,None,Sunglasses,No Hat,Small Frown,Plain,Tiny,Big Whiskers
209,Jerry,None,Closed,Karate Kid,Straight,Plain,Tiny,Tiny Whiskers
210,Templeton,None,Crosseyed,Halo,Big Smile,Plain,Dark,Whiskers
211,Simon,None,Bandit Mask,Cheese,Small Smile,Black Necklace,Normal,Whiskers
212,Jerry,None,Looking Left,No Hat,Big Smile,Gold Chain,Big,Tiny Whiskers
213,Simon,None,Looking Up,No Hat,Big Smile,Plain,Tiny,Whiskers
216,Simon,None,Looking Left,No Hat,Big Smile,Fancy,Dark,Handlebar
217,Stuart,None,Bandit Mask,No Hat,Small Smile,Plain,No Nose,Whiskers
218,Alvin,None,Looking Up,Elvis,Big Frown,Plain,No Nose,Big Whiskers
219,Matthias,None,Crosseyed,No Hat,Small Smile,Plain,Big,Whiskers
220,Common,None,Looking Right,No Hat,Small Smile,Plain,Dark,Whiskers
221,Common,Flower,Looking Up,Construction Hat,Small Frown,Fancy,No Nose,Big Whiskers
222,Alvin,None,Looking Up,Cheese,Big Smile,Fancy,Dark,Tiny Whiskers
223,Simon,None,Sunglasses,No Hat,Big Frown,Red Necklace,Big,Tiny Whiskers
224,Reepicheep,Stud,Looking Left,Cheese,Straight,Plain,Big,Tiny Whiskers
225,Reepicheep,None,Looking Up,Karate Kid,Small Smile,Plain,Big,Handlebar
226,Templeton,None,Looking Right,Construction Hat,Big Smile,Black Necklace,Big,Tiny Whiskers
227,Jerry,None,VR Goggles,No Hat,Straight,Plain,No Nose,Whiskers
228,Jerry,None,Looking Up,No Hat,Smile,Black Necklace,Dark,Whiskers
229,Templeton,None,Looking Up,No Hat,Small Smile,Plain,No Nose,Whiskers
230,Stuart,None,Looking Left,No Hat,Small Smile,Plain,Normal,No Whiskers
231,Reepicheep,None,Bandit Mask,Cheese,Small Smile,Fancy,Big,Whiskers
232,Matthias,None,Crosseyed,Construction Hat,Small Smile,Gold Chain,Big,Whiskers
233,Stuart,None,Bandit Mask,Elvis,Smile,Plain,Big,Big Whiskers
234,Alvin,None,Looking Up,No Hat,Smile,Black Necklace,Normal,Whiskers
235,Simon,None,Looking Up,Halo,Small Frown,Plain,Big,Whiskers
236,Stuart,Stud,VR Goggles,No Hat,Big Smile,Plain,Big,Tiny Whiskers
237,Common,None,Looking Up,No Hat,Small Smile,Red Necklace,Dark,Big Whiskers
239,Common,None,Bandit Mask,No Hat,Frown,Gold Chain,Normal,Whiskers
240,Common,None,Closed,Halo,Big Frown,Plain,Dark,Whiskers
241,Stuart,None,Crosseyed,No Hat,Small Frown,Plain,Normal,Tiny Whiskers
243,Reepicheep,None,Bandit Mask,Bane,Big Frown,Fancy,No Nose,No Whiskers
244,Stuart,None,Looking Right,No Hat,Smile,Plain,Dark,Tiny Whiskers
245,Jerry,None,Looking Up,No Hat,Straight,Plain,Big,Whiskers
246,Stuart,None,Crosseyed,No Hat,Smile,Plain,Big,Whiskers
248,Jerry,None,Looking Up,Construction Hat,Small Smile,Plain,No Nose,Big Whiskers
250,Simon,None,Looking Left,No Hat,Big Smile,Black Necklace,Normal,Whiskers
252,Common,None,Looking Right,No Hat,Small Frown,Red Necklace,Normal,Whiskers
253,Alvin,None,Looking Up,No Hat,Small Frown,Plain,Big,Whiskers
255,Matthias,None,Looking Left,No Hat,Frown,Plain,Big,Whiskers
256,Common,None,Crosseyed,No Hat,Straight,Fancy,No Nose,Whiskers
258,Matthias,None,Looking Right,No Hat,Small Frown,Plain,Big,Tiny Whiskers
259,Matthias,None,Crazy,Karate Kid,Big Frown,Plain,No Nose,Whiskers
262,Simon,None,Looking Right,Karate Kid,Frown,Plain,No Nose,Whiskers
263,Simon,None,Bandit Mask,Karate Kid,Small Smile,Plain,Big,Tiny Whiskers
264,Reepicheep,None,Crazy,Karate Kid,Big Smile,Plain,Tiny,Whiskers
265,Simon,Flower,Looking Right,No Hat,Small Frown,Plain,Tiny,No Whiskers
266,Templeton,None,Crazy,No Hat,Big Smile,Plain,Dark,No Whiskers
267,Alvin,None,Crosseyed,Halo,Small Frown,Plain,Tiny,Tiny Whiskers
268,Jerry,None,Looking Right,Construction Hat,Straight,Black Necklace,No Nose,Handlebar
269,Common,None,3D Glasses,Karate Kid,Big Frown,Plain,Tiny,Whiskers
270,Reepicheep,None,Looking Up,Bane,Straight,Plain,Normal,No Whiskers
272,Jerry,None,Closed,No Hat,Smile,Plain,No Nose,Whiskers
273,Common,None,Bandit Mask,No Hat,Straight,Plain,Normal,Whiskers
274,Alvin,Stud,VR Goggles,No Hat,Frown,Plain,Big,Whiskers
275,Stuart,None,Bandit Mask,No Hat,Small Frown,Plain,Big,Tiny Whiskers
276,Stuart,None,Looking Right,No Hat,Big Frown,Plain,Tiny,No Whiskers
279,Templeton,None,Looking Right,Karate Kid,Small Frown,Plain,Normal,Whiskers
280,Templeton,None,Bandit Mask,No Hat,Big Smile,Black Necklace,Dark,Tiny Whiskers
281,Templeton,None,Looking Up,No Hat,Small Frown,Red Necklace,No Nose,Tiny Whiskers
282,Simon,None,Looking Left,No Hat,Big Frown,Plain,No Nose,Tiny Whiskers
290,Simon,None,Looking Right,No Hat,Small Smile,Black Necklace,Tiny,Whiskers
292,Simon,None,Looking Left,Elvis,Frown,Red Necklace,Big,Big Whiskers
293,Simon,Stud,Looking Left,No Hat,Frown,Gold Chain,Big,Whiskers
294,Common,None,Crosseyed,Construction Hat,Small Frown,Plain,Tiny,Whiskers
297,Matthias,None,Looking Left,Motorcycle Helmet,Big Frown,Plain,Big,No Whiskers
298,Jerry,None,Closed,Elvis,Smile,Plain,Tiny,Tiny Whiskers
299,Stuart,None,Looking Right,Motorcycle Helmet,Smile,Gold Chain,Normal,Whiskers
300,Common,None,Closed,No Hat,Straight,Fancy,Big,Tiny Whiskers
301,Common,None,Looking Up,Elvis,Frown,Plain,Normal,Whiskers
